subject,sender,body,label
Claim Your Reward Now,billing@secure-mailer.com,Your account has been flagged for suspicious activity.,1
Claim Your Reward Now,support@netflx-verify.com,Click the link below to verify your account immediately.,1
Your Amazon Order Confirmation,no-reply@amazon.com,Your monthly payment has been successfully processed.,0
Unusual Login Attempt Detected,billing@secure-mailer.com,Click the link below to verify your account immediately.,1
Urgent: Verify Your Identity,verify@chase-verification.net,Your account has been flagged for suspicious activity.,1
Netflix Payment Receipt,no-reply@amazon.com,We're glad you're here. Let's get you started.,0
Claim Your Reward Now,security@fakebank.com,This is a final warning before we disable your account.,1
Meeting Reminder: Project Sync,welcome@linkedin.com,Check out this week's top stories and updates.,0
Your Amazon Order Confirmation,meetings@zoom.us,We're glad you're here. Let's get you started.,0
Urgent: Verify Your Identity,billing@secure-mailer.com,Click the link below to verify your account immediately.,1
Your Account Has Been Suspended,security@fakebank.com,This is a final warning before we disable your account.,1
Unusual Login Attempt Detected,alert@paypal-fraud.com,Click the link below to verify your account immediately.,1
Immediate Action Required,verify@chase-verification.net,Log in now to update your billing information.,1
Your Account Has Been Suspended,alert@paypal-fraud.com,Failure to act within 24 hours will result in account closure.,1
Welcome to LinkedIn!,billing@netflix.com,Thank you for your purchase. Your order will arrive soon.,0
Claim Your Reward Now,verify@chase-verification.net,Your account has been flagged for suspicious activity.,1
Immediate Action Required,support@netflx-verify.com,Click the link below to verify your account immediately.,1
Meeting Reminder: Project Sync,meetings@zoom.us,Your monthly payment has been successfully processed.,0
Netflix Payment Receipt,meetings@zoom.us,We're glad you're here. Let's get you started.,0
Security Alert: Confirm Your Password,login@apple-alerts.com,This is a final warning before we disable your account.,1
Immediate Action Required,login@apple-alerts.com,Failure to act within 24 hours will result in account closure.,1
Unusual Login Attempt Detected,support@netflx-verify.com,Log in now to update your billing information.,1
Claim Your Reward Now,security@fakebank.com,Click the link below to verify your account immediately.,1
Welcome to LinkedIn!,no-reply@amazon.com,Check out this week's top stories and updates.,0
Unusual Login Attempt Detected,billing@secure-mailer.com,You have won a prize! Click to claim.,1
Meeting Reminder: Project Sync,meetings@zoom.us,Check out this week's top stories and updates.,0
Claim Your Reward Now,billing@secure-mailer.com,Log in now to update your billing information.,1
Unusual Login Attempt Detected,login@apple-alerts.com,Click the link below to verify your account immediately.,1
Claim Your Reward Now,login@apple-alerts.com,Click the link below to verify your account immediately.,1
Your Account Has Been Suspended,verify@chase-verification.net,Log in now to update your billing information.,1
Claim Your Reward Now,verify@chase-verification.net,Log in now to update your billing information.,1
Welcome to LinkedIn!,newsletter@medium.com,Thank you for your purchase. Your order will arrive soon.,0
Unusual Login Attempt Detected,verify@chase-verification.net,Click the link below to verify your account immediately.,1
GitHub: New Login from Known Device,newsletter@medium.com,Your monthly payment has been successfully processed.,0
Netflix Payment Receipt,newsletter@medium.com,Your monthly payment has been successfully processed.,0
GitHub: New Login from Known Device,no-reply@amazon.com,Just a reminder that your meeting starts at 3PM today.,0
Weekly Newsletter,welcome@linkedin.com,Check out this week's top stories and updates.,0
Welcome to LinkedIn!,notifications@github.com,We're glad you're here. Let's get you started.,0
Netflix Payment Receipt,billing@netflix.com,Check out this week's top stories and updates.,0
Unusual Login Attempt Detected,security@fakebank.com,Your account has been flagged for suspicious activity.,1
Immediate Action Required,support@netflx-verify.com,This is a final warning before we disable your account.,1
Weekly Newsletter,billing@netflix.com,New login detected from your known device.,0
Meeting Reminder: Project Sync,notifications@github.com,We're glad you're here. Let's get you started.,0
Security Alert: Confirm Your Password,billing@secure-mailer.com,This is a final warning before we disable your account.,1
Welcome to LinkedIn!,notifications@github.com,Just a reminder that your meeting starts at 3PM today.,0
Urgent: Verify Your Identity,verify@chase-verification.net,Log in now to update your billing information.,1
Unusual Login Attempt Detected,alert@paypal-fraud.com,Click the link below to verify your account immediately.,1
Unusual Login Attempt Detected,billing@secure-mailer.com,Log in now to update your billing information.,1
Your Account Has Been Suspended,verify@chase-verification.net,Log in now to update your billing information.,1
Netflix Payment Receipt,meetings@zoom.us,Check out this week's top stories and updates.,0
GitHub: New Login from Known Device,billing@netflix.com,New login detected from your known device.,0
Your Amazon Order Confirmation,no-reply@amazon.com,Thank you for your purchase. Your order will arrive soon.,0
Urgent: Verify Your Identity,alert@paypal-fraud.com,Failure to act within 24 hours will result in account closure.,1
Meeting Reminder: Project Sync,billing@netflix.com,Your monthly payment has been successfully processed.,0
Security Alert: Confirm Your Password,billing@secure-mailer.com,Log in now to update your billing information.,1
GitHub: New Login from Known Device,newsletter@medium.com,Thank you for your purchase. Your order will arrive soon.,0
Urgent: Verify Your Identity,billing@secure-mailer.com,Log in now to update your billing information.,1
Your Amazon Order Confirmation,newsletter@medium.com,Just a reminder that your meeting starts at 3PM today.,0
Netflix Payment Receipt,welcome@linkedin.com,Thank you for your purchase. Your order will arrive soon.,0
Your Account Has Been Suspended,support@netflx-verify.com,Failure to act within 24 hours will result in account closure.,1
Meeting Reminder: Project Sync,meetings@zoom.us,New login detected from your known device.,0
Your Account Has Been Suspended,login@apple-alerts.com,Your account has been flagged for suspicious activity.,1
Meeting Reminder: Project Sync,billing@netflix.com,Your monthly payment has been successfully processed.,0
Urgent: Verify Your Identity,security@fakebank.com,This is a final warning before we disable your account.,1
